Id;Version;Date;Age;VersionAge; CyclomaticComplexity; NPathComplexity;ExcessiveMethodLength;ExcessiveClassLength;ExcessiveParameterList;ExcessivePublicCount;TooManyFields;TooManyMethods;TooManyPublicMethods;ExcessiveClassComplexity;NumberOfChildren;DepthOfInheritance;CouplingBetweenObjects;DevelopmentCodeFragment;UnusedPrivateField;UnusedLocalVariable;UnusedPrivateMethod;UnusedFormalParameter; embed JS;inline JS;embed CSS;inline CSS;css in JS;css in JS: jquery; max-lines;max-lines-per-function;max-params;complexity;max-depth;max-nested-callbacks;PHP;HTML;JavaScript;CSS;HTML_template;HTML_diff;Client;SUM
1;3.0.0;2008-09-27;0;0;140;89;46;3;8;1;1;1;8;11;0;0;1;2;1;79;0;121;43;164;8;53;40;0;5;42;19;26;1;0;118069;9716;3095;359;0;5573;13170;131569
2;3.0.1;2008-10-22;25;25;140;89;46;3;8;1;1;1;8;11;0;0;1;2;1;79;0;121;43;164;8;53;40;0;5;42;19;26;1;0;118101;9716;3095;359;0;5573;13170;131601
3;3.0.1.1;2008-10-30;33;1;140;89;46;3;8;1;1;1;8;11;0;0;1;2;1;79;0;121;43;164;8;53;40;0;5;42;19;26;1;0;118102;9717;3095;359;0;5574;13171;131603
4;3.1.0;2008-11-28;62;29;153;102;53;4;8;2;1;1;8;12;0;0;1;2;1;96;1;123;48;169;7;60;47;0;6;52;23;27;1;0;140622;9912;3740;644;0;5716;14296;155073
5;3.1.1;2008-12-06;70;2;153;102;53;4;8;2;1;1;8;12;0;0;1;2;1;96;1;123;48;169;7;60;47;0;6;52;23;27;1;0;140630;9916;3743;644;0;5716;14303;155086
6;3.1.2;2009-01-19;114;44;154;102;53;4;8;2;1;1;8;12;0;0;1;2;1;96;1;121;48;169;7;60;47;0;6;52;23;27;1;0;140670;9913;3746;644;0;5716;14303;155127
7;3.1.3;2009-02-28;154;3;154;102;53;4;8;2;1;1;8;12;0;0;1;2;1;96;1;121;48;169;7;60;47;0;6;52;23;27;1;0;140705;9914;3746;644;0;5717;14304;155163
8;3.1.3.1;2009-03-24;178;24;154;102;53;4;8;2;1;1;8;12;0;0;1;2;1;96;1;121;48;169;7;60;47;0;6;52;23;27;1;0;140709;9913;3746;644;0;5716;14303;155166
9;3.1.3.2;2009-04-14;199;4;154;102;53;4;8;2;1;1;8;12;0;0;1;2;1;96;1;121;48;169;7;60;47;0;6;52;23;27;1;0;140695;9913;3746;644;0;5715;14303;155152
10;3.1.4;2009-04-25;210;11;154;102;53;4;8;2;1;2;8;12;0;0;1;2;1;96;1;121;48;169;7;60;47;0;6;52;23;27;1;0;140723;9946;3746;644;0;5715;14336;155213
11;3.1.5;2009-05-15;230;5;154;102;53;4;8;2;1;2;8;12;0;0;1;2;1;96;1;120;48;169;7;60;47;0;6;53;23;27;1;0;140721;9946;3752;644;0;5715;14342;155217
12;3.2.0;2009-06-15;261;31;155;103;53;4;8;2;1;3;9;12;0;0;1;2;1;98;1;120;51;169;7;60;47;0;6;53;23;27;1;0;142791;10109;3768;645;0;5779;14522;157451
13;3.2.0.1;2009-06-30;276;6;155;103;53;4;8;2;1;3;9;12;0;0;1;2;1;98;1;120;51;169;7;60;47;0;6;53;23;27;1;0;142791;10109;3768;645;0;5779;14522;157451
14;3.2.2;2009-09-13;351;75;156;103;53;4;8;2;1;3;9;12;0;0;1;2;1;98;1;120;51;169;7;60;47;0;6;53;23;28;1;0;145694;10119;3768;645;0;5783;14532;160364
15;3.2.2.1;2009-10-12;380;7;156;103;53;4;8;2;1;3;9;12;0;0;1;2;1;98;1;120;51;169;7;60;47;0;6;53;23;28;1;0;145696;10119;3768;645;0;5783;14532;160366
16;3.2.3;2009-10-30;398;18;156;103;53;4;8;2;1;3;9;12;0;0;1;2;1;98;1;120;51;169;10;60;47;0;6;53;23;28;1;0;145775;10133;3768;645;0;5783;14546;160460
17;3.2.4;2009-12-02;431;8;156;103;53;4;8;2;1;3;9;12;0;0;1;2;1;98;1;120;51;169;10;60;47;0;6;53;23;28;1;0;145803;10133;3768;645;0;5783;14546;160480
18;3.2.5;2010-01-10;470;39;156;103;53;4;8;2;1;3;9;12;0;0;1;2;1;98;1;120;51;169;10;60;47;0;6;53;23;28;1;0;145838;10133;3768;645;0;5783;14546;160515
19;3.3.0;2010-03-07;526;9;324;175;100;16;16;6;7;11;20;40;0;0;8;6;8;236;8;164;57;210;12;116;50;0;6;58;24;32;5;0;193587;10991;4083;648;0;6196;15722;209420
20;3.3.1;2010-03-16;535;9;324;175;100;16;16;6;7;11;20;40;0;0;8;6;8;236;8;164;57;210;12;117;50;0;6;58;24;32;5;0;193597;10994;4083;648;0;6199;15725;209433
21;3.3.2;2010-04-13;563;10;324;175;100;16;16;6;7;11;20;40;0;0;8;6;8;236;8;164;57;210;12;117;50;0;6;58;24;32;5;0;193608;11026;4083;648;0;6198;15757;209476
22;3.3.3;2010-05-10;590;27;324;175;100;16;16;6;7;11;20;40;0;0;8;6;8;236;8;164;57;210;12;117;50;0;6;58;24;32;5;0;193636;11026;4083;648;0;6198;15757;209504
23;3.3.4;2010-06-28;639;11;324;175;100;16;16;6;7;11;20;40;0;0;8;6;8;236;8;164;57;210;12;117;50;0;6;58;24;32;5;0;193598;11006;4083;648;0;6198;15737;209553
24;3.3.5;2010-07-26;667;28;363;200;110;16;16;5;8;12;20;47;0;0;9;6;9;263;12;149;57;210;12;119;50;0;6;58;24;32;5;0;198612;11027;4083;648;0;6213;15758;214588
25;3.3.5.1;2010-08-20;692;12;362;200;110;16;16;5;8;11;18;47;0;0;9;6;9;255;12;149;52;208;12;118;50;0;6;58;24;32;5;0;196939;10845;4062;648;0;6031;15555;212733
26;3.3.6;2010-08-28;700;8;362;200;110;16;16;5;8;11;18;47;0;0;9;6;9;255;12;149;52;208;12;118;50;0;6;58;24;33;5;0;196948;10817;4066;648;0;6031;15531;212716
27;3.3.7;2010-09-07;710;13;362;200;110;16;16;5;8;11;18;47;0;0;9;6;9;255;12;149;52;208;12;118;50;0;6;58;24;33;5;0;196960;10821;4072;648;0;6035;15541;212733
28;3.3.8;2010-10-25;758;48;363;202;109;16;16;5;8;11;18;47;0;0;10;2;9;265;12;149;52;207;12;118;50;0;6;58;24;33;5;0;197382;10822;4072;648;0;6036;15542;213156
29;3.3.8.1;2010-11-29;793;14;363;202;109;16;16;5;8;11;18;47;0;0;10;2;9;265;12;149;52;207;12;118;50;0;6;58;24;33;5;0;197382;10822;4072;648;0;6036;15542;213156
30;3.3.9;2011-01-03;828;35;363;202;109;16;16;5;8;11;18;47;0;0;10;2;9;265;12;149;52;207;12;118;50;0;6;58;24;33;5;0;197405;10814;4072;648;0;6036;15534;212959
31;3.3.9.1;2011-02-08;864;15;363;202;109;16;16;5;8;11;18;47;0;0;10;2;9;265;12;149;52;207;12;118;50;0;6;58;24;33;5;0;197415;10814;4072;648;0;6036;15534;212969
32;3.3.9.2;2011-02-11;867;3;363;202;109;16;16;5;8;11;18;47;0;0;10;2;9;265;12;149;52;207;12;118;50;0;6;58;24;33;5;0;197421;10814;4072;648;0;6036;15534;212975
33;3.3.10;2011-03-19;903;16;362;201;109;16;16;5;8;11;18;47;0;0;10;2;9;269;12;149;52;207;12;118;50;0;6;58;24;33;5;0;197415;10813;4072;648;0;6035;15533;212968
34;3.4.0;2011-05-11;956;53;474;291;167;21;31;8;8;15;27;62;0;0;10;2;19;311;15;161;39;177;12;118;32;144;1;2;92;145;46;27;135431;12268;1464;1320;0;7933;15052;150362
35;3.4.1;2011-05-20;965;17;474;291;167;21;31;8;8;15;27;62;0;0;10;2;19;311;15;161;39;177;12;118;32;144;1;2;92;145;46;27;135398;12268;1464;1320;0;7933;15052;150353
36;3.4.2;2011-06-07;983;18;474;291;167;21;31;8;8;15;27;62;0;0;10;2;19;313;15;161;39;177;12;118;32;144;1;3;92;145;46;27;135417;12269;1466;1320;0;7934;15055;150375
37;3.4.3;2011-06-27;1003;18;474;291;167;21;31;8;8;15;27;62;0;0;10;2;19;313;15;161;39;177;12;118;32;144;1;3;92;145;46;27;135423;12269;1467;1320;0;7934;15056;150382
38;3.4.3.1;2011-07-03;1009;6;474;291;167;21;31;8;8;15;27;62;0;0;10;2;19;313;15;161;39;177;12;118;32;144;1;3;92;145;46;27;135422;12269;1467;1320;0;7934;15056;150381
39;3.4.3.2;2011-07-23;1029;19;474;291;167;21;31;8;8;15;27;62;0;0;10;2;19;312;15;161;39;177;12;118;32;144;1;3;92;145;46;27;135429;12267;1467;1320;0;7932;15054;150386
40;3.4.4;2011-08-24;1061;32;474;291;167;21;31;8;8;15;27;62;0;0;10;2;19;312;15;161;39;176;12;118;32;144;1;3;92;145;46;27;135454;12270;1467;1320;0;7935;15057;150414
41;3.4.5;2011-09-14;1082;20;254;181;101;4;30;3;1;2;9;17;0;0;1;2;8;146;3;131;39;176;10;107;32;144;1;3;92;145;46;27;91978;12096;1468;1320;0;7783;14884;106765
42;3.4.6;2011-10-16;1114;32;255;182;101;4;30;3;1;2;9;17;0;0;1;2;8;143;3;131;39;176;10;107;32;144;1;3;92;145;46;27;92017;12103;1468;1320;0;7787;14891;106811
43;3.4.7;2011-10-23;1121;21;255;182;101;4;30;3;1;2;9;17;0;0;1;2;8;143;3;132;39;176;10;107;32;144;1;3;92;145;46;27;92030;12105;1468;1320;0;7789;14893;106826
44;3.4.7.1;2011-11-10;1139;18;255;182;101;4;30;3;1;2;9;17;0;0;1;2;8;143;3;132;39;176;10;107;32;144;1;3;92;145;46;27;92038;12108;1468;1320;0;7789;14896;106837
45;3.4.8;2011-12-01;1160;22;255;182;101;4;30;3;1;2;9;17;0;0;1;2;8;143;3;132;39;176;10;107;32;144;1;3;92;146;46;27;92054;12112;1475;1320;0;7795;14907;106859
46;3.4.9;2011-12-21;1180;20;255;182;101;4;30;3;1;2;9;17;0;0;1;2;8;143;3;132;39;176;10;107;32;144;1;3;92;146;46;27;92080;12112;1475;1320;0;7795;14907;106885
47;3.4.10;2012-02-14;1235;23;260;188;107;4;30;3;1;2;9;17;0;0;1;2;8;144;3;133;39;176;10;107;32;144;1;3;92;146;46;27;93276;12053;1475;1320;0;7736;14848;108052
48;3.4.10.1;2012-02-18;1239;4;260;188;107;4;30;3;1;2;9;17;0;0;1;2;8;144;3;133;39;176;10;107;32;144;1;3;92;146;46;27;93276;12053;1475;1320;0;7736;14848;108052
49;3.4.10.2;2012-03-28;1278;24;260;188;107;4;30;3;1;2;9;17;0;0;1;2;8;144;3;133;39;176;10;107;32;144;1;3;92;146;46;27;93278;12053;1475;1320;0;7736;14848;108054
