id;version1;version2;date1;date2;count
2;1.5.5.1;1.5.6;2013-04-28;2013-08-01;50
3;1.5.6;1.5.6.1;2013-08-01;2014-01-09;79
4;1.5.6.1;1.5.6.2;2014-01-09;2014-04-10;63
5;1.5.6.2;1.5.6.3;2014-04-10;2014-04-15;5
6;1.5.6.3;1.5.6.4;2014-04-15;2014-04-24;8
7;1.5.6.4;2.0.0.0;2014-04-24;2014-10-01;135
8;2.0.0.0;2.0.1.0;2014-10-01;2014-11-30;201
9;2.0.1.0;2.0.1.1;2014-11-30;2014-12-06;25
10;2.0.1.1;2.0.2.0;2014-12-06;2015-03-30;131
11;2.0.2.0;2.0.3.0;2015-03-30;2015-05-20;69
12;2.0.3.0;2.0.3.1;2015-05-20;2015-05-27;16
13;2.0.3.1;2.1.0.0;2015-05-27;2015-09-27;106
14;2.1.0.0;2.1.0.1;2015-09-27;2015-10-06;9
15;2.1.0.1;2.1.0.2;2015-10-06;2015-12-30;116
16;2.1.0.2;2.2.0.0;2015-12-30;2016-03-02;68
17;2.2.0.0;2.3.0.0;2016-03-02;2016-07-30;191
18;2.3.0.0;2.3.0.1;2016-07-30;2016-07-31;1
19;2.3.0.1;2.3.0.2;2016-07-31;2016-08-01;2
20;2.3.0.2;3.0.0.0;2016-08-01;2017-06-19;269
23;3.0.0.0;3.0.1.1;2017-06-19;2017-07-04;42
24;3.0.1.1;3.0.1.2;2017-07-04;2017-07-07;10
25;3.0.1.2;3.0.2.0;2017-07-07;2017-07-17;18
26;3.0.2.0;3.0.3.0;2017-07-17;2019-01-02;436
27;3.0.3.0;3.0.3.1;2019-01-02;2019-01-04;3
28;3.0.3.1;3.0.3.2;2019-01-04;2019-04-09;54
29;3.0.3.2;next;2019-04-09;2020-05-01;230
