id;version1;version2;date1;date2;count
2;1.0.0;1.0.1;2014-02-17;2014-02-22;2
3;1.0.1;1.0.2;2014-02-22;2014-02-28;1
4;1.0.2;1.0.3;2014-02-28;2014-03-15;1
5;1.0.3;1.0.4;2014-03-15;2014-05-04;4
6;1.0.4;1.0.5;2014-05-04;2014-05-27;0
7;1.0.5;1.0.6;2014-05-27;2014-06-30;6
8;1.0.6;1.0.7;2014-06-30;2014-08-20;5
9;1.0.7;1.0.8;2014-08-20;2014-09-19;6
10;1.0.8;1.0.9;2014-09-19;2014-11-02;16
11;1.0.9;1.0.10;2014-11-02;2014-12-07;16
12;1.0.10;1.0.11;2014-12-07;2015-01-10;8
13;1.0.11;1.0.12;2015-01-10;2015-02-22;27
14;1.0.12;1.0.13;2015-02-22;2015-04-06;18
15;1.0.13;1.0.14;2015-04-06;2015-05-02;12
16;1.0.14;1.0.15;2015-05-02;2015-05-31;10
17;1.0.15;1.0.16;2015-05-31;2015-06-28;14
18;1.0.16;1.0.17;2015-06-28;2015-07-26;13
19;1.0.17;1.0.18;2015-07-26;2015-08-30;23
20;1.0.18;1.0.19;2015-08-30;2015-10-11;29
21;1.0.19;1.0.20;2015-10-11;2015-10-24;15
22;1.0.20;1.0.21;2015-10-24;2015-11-22;27
23;1.0.21;1.0.22;2015-11-22;2015-12-14;22
24;1.0.22;1.0.23;2015-12-14;2016-01-09;25
25;1.0.23;1.0.24;2016-01-09;2016-01-24;29
26;1.0.24;1.0.25;2016-01-24;2016-02-07;13
27;1.0.25;1.0.26;2016-02-07;2016-02-28;20
28;1.0.26;1.0.27;2016-02-28;2016-03-27;28
29;1.0.27;1.0.28;2016-03-27;2016-05-08;28
30;1.0.28;1.0.29;2016-05-08;2016-06-06;26
31;1.0.29;1.0.30;2016-06-06;2016-06-09;8
32;1.0.30;1.0.31;2016-06-09;2016-07-04;29
33;1.0.31;1.0.32;2016-07-04;2016-08-01;24
34;1.0.32;1.0.33;2016-08-01;2016-09-06;27
35;1.0.33;1.0.34;2016-09-06;2016-10-11;33
36;1.0.34;1.0.35;2016-10-11;2016-12-05;32
37;1.0.35;1.0.36;2016-12-05;2016-12-31;14
38;1.0.36;1.0.37;2016-12-31;2017-01-14;6
39;1.0.37;1.0.38;2017-01-14;2017-01-28;7
40;1.0.38;1.0.39;2017-01-28;2017-02-12;12
41;1.0.39;1.0.40;2017-02-12;2017-02-25;9
42;1.0.40;1.0.41;2017-02-25;2017-03-19;11
43;1.0.41;1.0.42;2017-03-19;2017-04-08;8
44;1.0.42;1.0.43;2017-04-08;2017-05-01;9
45;1.0.43;1.0.44;2017-05-01;2017-05-29;19
46;1.0.44;1.0.45;2017-05-29;2017-06-23;3
47;1.0.45;1.0.46;2017-06-23;2017-08-13;13
48;1.0.46;1.0.47;2017-08-13;2017-10-04;23
49;1.0.47;1.0.48;2017-10-04;2017-10-24;5
50;1.0.48;1.1.0;2017-10-24;2017-11-20;12
51;1.1.0;1.1.1;2017-11-20;2017-12-09;9
52;1.1.1;1.2.0;2017-12-09;2017-12-27;14
53;1.2.0;1.2.1;2017-12-27;2018-03-01;28
54;1.2.1;1.2.2;2018-03-01;2018-03-31;15
55;1.2.2;1.2.3;2018-03-31;2018-04-19;18
56;1.2.3;1.2.4;2018-04-19;2018-05-17;19
57;1.2.4;1.2.5;2018-05-17;2018-06-15;13
58;1.2.5;1.2.6;2018-06-15;2018-10-11;38
59;1.2.6;1.2.7;2018-10-11;2018-12-20;15
60;1.2.7;1.2.8;2018-12-20;2019-02-02;10
61;1.2.8;1.2.9;2019-02-02;2019-04-06;17
62;1.2.9;1.2.10;2019-04-06;2019-06-22;15
63;1.2.10;1.2.11;2019-06-22;2019-08-24;14
64;1.2.11;1.2.12;2019-08-24;2019-10-27;10
65;1.2.12;1.2.13;2019-10-27;2019-12-16;12
66;1.2.13;next;2019-12-16;2020-04-16;23
